,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,141,85,132,sofia,43,dutch,0,147980
1,608,85,130,sofia,43,dutch,0,147980
2,923,45,104,sofia,43,dutch,0,147980
3,203,93,185,sofia,43,dutch,0,147980
4,899,83,130,sofia,43,dutch,0,147980
5,143,58,105,sofia,43,dutch,0,147980
6,337,83,128,sofia,43,dutch,0,147980
7,968,101,178,sofia,43,dutch,0,147980
8,472,44,180,sofia,43,dutch,0,147980
9,554,43,130,sofia,43,dutch,0,147980
10,459,83,130,sofia,43,dutch,0,147980
11,799,41,54,sofia,43,dutch,0,147980
12,852,46,52,sofia,43,dutch,0,147980
13,814,136,264,sofia,43,dutch,0,147980
14,13,58,53,sofia,43,dutch,0,147980
15,601,57,104,sofia,43,dutch,0,147980
16,4,42,53,sofia,43,dutch,0,147980
17,109,84,132,sofia,43,dutch,0,147980
18,542,60,106,sofia,43,dutch,0,147980
19,653,92,184,sofia,43,dutch,0,147980
20,802,81,106,sofia,43,dutch,0,147980
21,272,46,54,sofia,43,dutch,0,147980
22,383,43,132,sofia,43,dutch,0,147980
23,590,78,132,sofia,43,dutch,0,147980
24,107,46,52,sofia,43,dutch,0,147980
25,578,92,181,sofia,43,dutch,0,147980
26,181,85,132,sofia,43,dutch,0,147980
27,815,140,262,sofia,43,dutch,0,147980
28,984,59,52,sofia,43,dutch,0,147980
29,883,99,181,sofia,43,dutch,0,147980
30,683,84,132,sofia,43,dutch,0,147980
31,137,43,53,sofia,43,dutch,0,147980
32,665,56,105,sofia,43,dutch,0,147980
33,201,81,128,sofia,43,dutch,0,147980
34,597,136,267,sofia,43,dutch,0,147980
35,544,60,53,sofia,43,dutch,0,147980
36,262,78,130,sofia,43,dutch,0,147980
37,649,134,266,sofia,43,dutch,0,147980
38,470,61,106,sofia,43,dutch,0,147980
39,574,61,53,sofia,43,dutch,0,147980
40,208,60,53,sofia,43,dutch,0,147980
41,302,59,129,sofia,43,dutch,0,147980
42,764,62,52,sofia,43,dutch,0,147980
43,287,141,263,sofia,43,dutch,0,147980
44,145,84,132,sofia,43,dutch,0,147980
45,304,93,184,sofia,43,dutch,0,147980
46,416,84,132,sofia,43,dutch,0,147980
47,862,64,104,sofia,43,dutch,0,147980
48,25,130,265,sofia,43,dutch,0,147980
49,553,96,53,sofia,43,dutch,0,147980
50,270,93,183,sofia,43,dutch,0,147980
51,190,46,51,sofia,43,dutch,0,147980
52,637,59,52,sofia,43,dutch,0,147980
53,353,46,53,sofia,43,dutch,0,147980
54,44,43,52,sofia,43,dutch,0,147980
55,871,82,132,sofia,43,dutch,0,147980
0,815,170,37,sofia,19,cypriot,0,147981
1,852,49,12,sofia,19,cypriot,0,147981
2,802,87,13,sofia,19,cypriot,0,147981
3,608,91,26,sofia,19,cypriot,0,147981
4,107,48,10,sofia,19,cypriot,0,147981
5,270,123,27,sofia,19,cypriot,0,147981
6,653,107,29,sofia,19,cypriot,0,147981
7,137,47,5,sofia,19,cypriot,0,147981
8,383,46,28,sofia,19,cypriot,0,147981
9,590,88,20,sofia,19,cypriot,0,147981
10,923,56,15,sofia,19,cypriot,0,147981
11,649,137,46,sofia,19,cypriot,0,147981
12,13,58,11,sofia,19,cypriot,0,147981
13,302,61,38,sofia,19,cypriot,0,147981
14,190,57,6,sofia,19,cypriot,0,147981
