,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,366,78,24,amsterdam,24,estonian,1,33411
1,317,173,44,amsterdam,24,estonian,1,33411
2,685,264,58,amsterdam,24,estonian,1,33411
3,83,156,28,amsterdam,24,estonian,1,33411
4,441,180,41,amsterdam,24,estonian,1,33411
5,264,79,12,amsterdam,24,estonian,1,33411
6,807,262,62,amsterdam,24,estonian,1,33411
7,369,75,7,amsterdam,24,estonian,1,33411
8,779,185,50,amsterdam,24,estonian,1,33411
9,193,147,30,amsterdam,24,estonian,1,33411
10,158,138,41,amsterdam,24,estonian,1,33411
11,77,253,70,amsterdam,24,estonian,1,33411
12,223,150,24,amsterdam,24,estonian,1,33411
13,821,107,28,amsterdam,24,estonian,1,33411
14,892,186,36,amsterdam,24,estonian,1,33411
15,715,155,28,amsterdam,24,estonian,1,33411
16,505,101,26,amsterdam,24,estonian,1,33411
17,283,101,28,amsterdam,24,estonian,1,33411
18,880,114,24,amsterdam,24,estonian,1,33411
19,967,78,37,amsterdam,24,estonian,1,33411
20,628,150,48,amsterdam,24,estonian,1,33411
21,587,151,26,amsterdam,24,estonian,1,33411
22,660,159,28,amsterdam,24,estonian,1,33411
23,430,157,78,amsterdam,24,estonian,1,33411
24,442,160,53,amsterdam,24,estonian,1,33411
25,548,227,82,amsterdam,24,estonian,1,33411
26,570,107,26,amsterdam,24,estonian,1,33411
27,806,266,68,amsterdam,24,estonian,1,33411
28,101,270,55,amsterdam,24,estonian,1,33411
29,140,119,22,amsterdam,24,estonian,1,33411
30,676,71,12,amsterdam,24,estonian,1,33411
31,706,125,20,amsterdam,24,estonian,1,33411
32,326,254,68,amsterdam,24,estonian,1,33411
33,373,112,26,amsterdam,24,estonian,1,33411
34,515,276,56,amsterdam,24,estonian,1,33411
35,745,103,22,amsterdam,24,estonian,1,33411
36,12,78,13,amsterdam,24,estonian,1,33411
37,788,108,22,amsterdam,24,estonian,1,33411
38,567,81,11,amsterdam,24,estonian,1,33411
39,16,176,26,amsterdam,24,estonian,1,33411
40,510,256,81,amsterdam,24,estonian,1,33411
41,105,155,29,amsterdam,24,estonian,1,33411
42,82,108,28,amsterdam,24,estonian,1,33411
43,604,110,23,amsterdam,24,estonian,1,33411
44,346,179,49,amsterdam,24,estonian,1,33411
45,867,141,32,amsterdam,24,estonian,1,33411
46,10,151,31,amsterdam,24,estonian,1,33411
47,945,140,44,amsterdam,24,estonian,1,33411
48,9,84,28,amsterdam,24,estonian,1,33411
49,724,263,52,amsterdam,24,estonian,1,33411
50,933,150,34,amsterdam,24,estonian,1,33411
51,410,117,23,amsterdam,24,estonian,1,33411
52,529,227,71,amsterdam,24,estonian,1,33411
53,752,253,64,amsterdam,24,estonian,1,33411
54,172,121,23,amsterdam,24,estonian,1,33411
55,658,157,36,amsterdam,24,estonian,1,33411
56,902,164,59,amsterdam,24,estonian,1,33411
57,311,102,28,amsterdam,24,estonian,1,33411
58,196,109,10,amsterdam,24,estonian,1,33411
59,921,81,28,amsterdam,24,estonian,1,33411
60,455,144,34,amsterdam,24,estonian,1,33411
61,34,78,14,amsterdam,24,estonian,1,33411
62,630,153,36,amsterdam,24,estonian,1,33411
63,253,254,70,amsterdam,24,estonian,1,33411
64,352,99,48,amsterdam,24,estonian,1,33411
65,603,264,56,amsterdam,24,estonian,1,33411
66,760,176,46,amsterdam,24,estonian,1,33411
67,750,112,13,amsterdam,24,estonian,1,33411
68,916,107,31,amsterdam,24,estonian,1,33411
69,627,105,14,amsterdam,24,estonian,1,33411
70,163,173,52,amsterdam,24,estonian,1,33411
71,157,253,50,amsterdam,24,estonian,1,33411
72,591,242,69,amsterdam,24,estonian,1,33411
73,269,151,34,amsterdam,24,estonian,1,33411
74,507,112,22,amsterdam,24,estonian,1,33411
75,588,173,8,amsterdam,24,estonian,1,33411
76,224,142,45,amsterdam,24,estonian,1,33411
77,218,189,43,amsterdam,24,estonian,1,33411
78,917,265,69,amsterdam,24,estonian,1,33411
79,417,151,36,amsterdam,24,estonian,1,33411
80,969,75,22,amsterdam,24,estonian,1,33411
81,387,237,61,amsterdam,24,estonian,1,33411
82,581,145,20,amsterdam,24,estonian,1,33411
83,214,183,45,amsterdam,24,estonian,1,33411
